canonical_id,ET,PH_REGION,FA,BT,HR,SC,ST,v,created_at
FA-MB-A__BT-SC__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,MB-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.172941
FA-EM-A__BT-FR__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,EM-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.174247
FA-EM-A__BT-AL__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,EM-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.175397
FA-EM-A__BT-CF__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,EM-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.176557
FA-EM-A__BT-SM__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,EM-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.177710
FA-EM-A__BT-SC__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,EM-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.179398
FA-RS-A__BT-FR__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,RS-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.180748
FA-RS-A__BT-AL__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,RS-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.182047
FA-RS-A__BT-CF__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,RS-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.183227
FA-RS-A__BT-SM__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,RS-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.184646
FA-RS-A__BT-SC__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,RS-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.185760
FA-FD-A__BT-FR__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,FD-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.186879
FA-FD-A__BT-AL__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,FD-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.188413
FA-FD-A__BT-CF__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,FD-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.189515
FA-FD-A__BT-SM__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,FD-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.190628
FA-FD-A__BT-SC__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,FD-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.191794
FA-SG-A__BT-FR__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,SG-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.193478
FA-SG-A__BT-AL__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,SG-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.194710
FA-SG-A__BT-CF__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,SG-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.195980
FA-SG-A__BT-SM__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,SG-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.197122
FA-SG-A__BT-SC__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,SG-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.198489
FA-MB-A__BT-FR__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,MB-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.199795
FA-MB-A__BT-AL__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,MB-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.200897
FA-MB-A__BT-CF__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,MB-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.202013
FA-MB-A__BT-SM__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,MB-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.203198
FA-MB-A__BT-SC__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,MB-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.204317
FA-EM-A__BT-FR__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,EM-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.205914
FA-EM-A__BT-AL__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,EM-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.207632
FA-EM-A__BT-CF__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,EM-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.209152
FA-EM-A__BT-SM__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,EM-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.210319
FA-EM-A__BT-SC__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,EM-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.211433
FA-RS-A__BT-FR__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,RS-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.212623
FA-RS-A__BT-AL__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,RS-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.213775
FA-RS-A__BT-CF__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,RS-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.214917
FA-RS-A__BT-SM__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,RS-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.216625
FA-RS-A__BT-SC__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,RS-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.217748
FA-FD-A__BT-FR__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,FD-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.218949
FA-FD-A__BT-AL__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,FD-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.220109
FA-FD-A__BT-CF__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,FD-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.221456
FA-FD-A__BT-SM__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,FD-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.222733
FA-FD-A__BT-SC__ET-PH__PH_REGION-VISAYAS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,VISAYAS,FD-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.224549
FA-SG-A__BT-FR__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,SG-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.226540
FA-SG-A__BT-AL__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,SG-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.227795
FA-SG-A__BT-CF__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,SG-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.228921
FA-SG-A__BT-SM__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,SG-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.230029
FA-SG-A__BT-SC__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,SG-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.231191
FA-MB-A__BT-FR__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,MB-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.232641
FA-MB-A__BT-AL__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,MB-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.233973
FA-MB-A__BT-CF__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,MB-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.235230
FA-MB-A__BT-SM__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,MB-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.236342
FA-MB-A__BT-SC__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,MB-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.237513
FA-EM-A__BT-FR__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,EM-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.238655
FA-EM-A__BT-AL__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,EM-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.239774
FA-EM-A__BT-CF__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,EM-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.241102
FA-EM-A__BT-SM__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,EM-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.242303
FA-EM-A__BT-SC__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,EM-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.243460
FA-RS-A__BT-FR__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,RS-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.244622
FA-RS-A__BT-AL__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,RS-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.246070
FA-RS-A__BT-CF__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,RS-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.247461
FA-RS-A__BT-SM__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,RS-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.249163
FA-RS-A__BT-SC__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,RS-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.250426
FA-FD-A__BT-FR__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,FD-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.251617
FA-FD-A__BT-AL__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,FD-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.252735
FA-FD-A__BT-CF__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,FD-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.253858
FA-FD-A__BT-SM__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,FD-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.255007
FA-FD-A__BT-SC__ET-PH__PH_REGION-MINDANAO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,MINDANAO,FD-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.256165
FA-SG-A__BT-FR__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,SG-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.257448
FA-SG-A__BT-AL__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,SG-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.258588
